,market_cap_2019
MMM,121251964000
ABT,134991756840
ABBV,120773528895
ABMD,15910330079
ACN,103268200996
ATVI,32017608127
ADBE,126135676137
AMD,26694185374
AAP,11303096833
AES,11477615311
AMG,5811926131
AFL,36978802560
A,25199614563
APD,39790579250
AKAM,11325703448
ALK,7725554728
ALB,9725272889
ARE,15333319960
ALXN,29759417468
ALGN,20983902355
ALLE,8378454315
AGN,45302091359
ADS,9494190149
LNT,10702848229
ALL,31503298570
GOOGL,776752615843
GOOG,771239787722
MO,97151145725
AMZN,802134319370
AEE,17330160000
AAL,17155944522
AEP,39844401863
AXP,90181411990
AIG,38109586019
AMT,76746200022
AWK,18234231193
AMP,17983422000
ABC,17872981240
AME,18118306079
AMGN,118114593634
APH,28357036287
APC,22281089243
ADI,39741114481
ANSS,14623838750
ANTM,80804550163
AON,41080704487
AOS,8956460591
APA,12699530261
AIV,7086365978
AAPL,821543234400
AMAT,37652910873
APTV,21595870457
ADM,23764567572
ARNC,8927760901
ANET,21151632829
AJG,14787380400
AIZ,6147062801
ATO,11490153902
T,226769283058
ADSK,35904308574
ADP,66429166243
AZO,22422479200
AVB,26957969129
AVY,9359504169
BHGE,27724084264
BLL,18614813440
BAC,283020012050
BK,50835348180
BAX,38332732128
BBT,39144980622
BDX,67341182496
BRK-B,blank
BBY,16294100003
BIIB,64418192584
BLK,69579248123
HRB,4984049514
BA,241175193479
BKNG,87564307428
BWA,8715122253
BXP,20810190741
BSX,55424617421
BHF,5104429352
BMY,82693763375
AVGO,110354546261
BR,11517178258
BF-B,blank
CHRW,12517024895
COG,10732067014
CDNS,16158272340
CPB,9711196314
COF,38094844396
CPRI,6807503532
CAH,16265748921
KMX,10171210613
CCL,42088144995
CAT,81387498581
CBOE,10704062691
CBRE,17204228842
CBS,18864821740
CE,13337784182
CELG,63379625678
CNC,26451167856
CNP,15541944911
CTL,14232282586
CERN,18485328147
CF,9981730688
SCHW,62134333374
CHTR,78625943611
CVX,228566830020
CMG,16503180038
CB,62162361280
CHD,16057339610
CI,72964639928
XEC,7059080569
CINF,13978008000
CTAS,21375044772
CSCO,223578987696
C,152839305000
CFG,17052845822
CTXS,13893123607
CLX,20198691946
CME,63501807959
CMS,15252593651
KO,192133780993
CTSH,41550922619
CL,57318720381
CMCSA,174566374474
CMA,13852124780
CAG,11320314694
CXO,21828664326
COP,78557483510
ED,26206317146
STZ,31737890572
COO,14535319482
CPRT,13856056571
GLW,27599578441
COST,95608458250
COTY,8384026770
CCI,49022876731
CSX,59394203252
CMI,24557451454
CVS,79182579668
DHI,15231929065
DHR,86435948121
DRI,13720623364
DVA,9690396760
DE,52735522970
DAL,34904824538
XRAY,9244628343
DVN,12925467000
FANG,17276533656
DLR,24174508574
DFS,23325305312
DISCA,15291441631
DISCK,14432901258
DISH,14948899072
DG,31220143150
DLTR,23149717806
